ComponentID,Name,Manufacturer,NominalEnergy_kWh,UsableEnergy_kWh,NominalVoltage_V,MinVoltage_V,MaxVoltage_V,MaxDischarge_kW,MaxCharge_kW,DischargeEfficiency,ChargeEfficiency,MinSOE,MaxSOE,MaxRegen_kW,Mass_kg,DeratingFactor,Chemistry,VoltageClass_V,OptimizationEnabled,Notes
BAT-01,Battery Pack 01,Concept Manufacturer,110,100,600,500,720,300,150,0.94,0.92,0.1,0.95,120,850,0.9,LFP,600,1,Synthetic engineering concept data
BAT-02,Battery Pack 02,Concept Manufacturer,120,109.090909090909,618.181818181818,516.363636363636,738.181818181818,318.181818181818,161.818181818182,0.943,0.924,0.1,0.95,130.909090909091,904.545454545455,0.909090909090909,LFP,600,1,Synthetic engineering concept data
BAT-03,Battery Pack 03,Concept Manufacturer,130,118.181818181818,636.363636363636,532.727272727273,756.363636363636,336.363636363636,173.636363636364,0.946,0.928,0.1,0.95,141.818181818182,959.090909090909,0.918181818181818,LFP,650,1,Synthetic engineering concept data
BAT-04,Battery Pack 04,Concept Manufacturer,140,127.272727272727,654.545454545455,549.090909090909,774.545454545455,354.545454545455,185.454545454545,0.949,0.932,0.1,0.95,152.727272727273,1013.63636363636,0.927272727272727,LFP,650,1,Synthetic engineering concept data
BAT-05,Battery Pack 05,Concept Manufacturer,150,136.363636363636,672.727272727273,565.454545454545,792.727272727273,372.727272727273,197.272727272727,0.952,0.936,0.1,0.95,163.636363636364,1068.18181818182,0.936363636363636,LFP,650,1,Synthetic engineering concept data
BAT-06,Battery Pack 06,Concept Manufacturer,160,145.454545454545,690.909090909091,581.818181818182,810.909090909091,390.909090909091,209.090909090909,0.955,0.94,0.1,0.95,174.545454545455,1122.72727272727,0.945454545454545,LFP,700,1,Synthetic engineering concept data
BAT-07,Battery Pack 07,Concept Manufacturer,170,154.545454545455,709.090909090909,598.181818181818,829.090909090909,409.090909090909,220.909090909091,0.958,0.944,0.1,0.95,185.454545454545,1177.27272727273,0.954545454545455,LFP,700,1,Synthetic engineering concept data
BAT-08,Battery Pack 08,Concept Manufacturer,180,163.636363636364,727.272727272727,614.545454545455,847.272727272727,427.272727272727,232.727272727273,0.961,0.948,0.1,0.95,196.363636363636,1231.81818181818,0.963636363636364,LFP,750,1,Synthetic engineering concept data
BAT-09,Battery Pack 09,Concept Manufacturer,190,172.727272727273,745.454545454545,630.909090909091,865.454545454545,445.454545454545,244.545454545455,0.964,0.952,0.1,0.95,207.272727272727,1286.36363636364,0.972727272727273,LFP,750,1,Synthetic engineering concept data
BAT-10,Battery Pack 10,Concept Manufacturer,200,181.818181818182,763.636363636364,647.272727272727,883.636363636364,463.636363636364,256.363636363636,0.967,0.956,0.1,0.95,218.181818181818,1340.90909090909,0.981818181818182,LFP,750,1,Synthetic engineering concept data
BAT-11,Battery Pack 11,Concept Manufacturer,210,190.909090909091,781.818181818182,663.636363636364,901.818181818182,481.818181818182,268.181818181818,0.97,0.96,0.1,0.95,229.090909090909,1395.45454545455,0.990909090909091,LFP,800,1,Synthetic engineering concept data
BAT-12,Battery Pack 12,Concept Manufacturer,220,200,800,680,920,500,280,0.973,0.964,0.1,0.95,240,1450,1,LFP,800,1,Synthetic engineering concept data
